,ImageName,app1,app2,Advantra,MOST,EnsembleNeuronTracerBasic,meanshift,TreMap,MST_Tracing,EnsembleNeuronTracerV2n,spanningtree,axis_analyzer,Rayshooting,smartTracing,simple,EnsembleNeuronTracerV2s
38,E:\result\0664_seg.v3dpbd\gold\219_312_175_gold.tiff,-1,-1,-1,0.2602848101265823,0.4941563184806428,0.16842690383546416,-1,0.0,0.0,-1,0.22880035610950367,0.2988871224165342,0.2723144104803493,0.24606340541675414,0.4941563184806428
39,E:\result\0664_seg.v3dpbd\gold\284_221_139_gold.tiff,-1,-1,-1,0.0,0.65,0.5144927536231884,-1,0.0,0.0,-1,0.07929515418502203,0.15421686746987953,0.15398230088495576,0.16326530612244897,0.65
40,E:\result\0664_seg.v3dpbd\gold\298_349_165_gold.tiff,-1,-1,-1,0.29328460484239377,0.5503564247852312,0.19885795860099928,-1,0.0,0.0,-1,0.23812351543942992,0.22080884288095448,0.23725331963905802,0.21777521835108934,0.5503564247852312
41,E:\result\0664_seg.v3dpbd\gold\298_408_252_gold.tiff,-1,-1,-1,0.39107883817427386,0.3383525243578388,0.1679790026246719,-1,0.0,0.0,-1,0.3439468159552134,0.22579887218045114,0.24001996007984033,0.3046847481507573,0.3383525243578388
42,E:\result\0664_seg.v3dpbd\gold\298_464_281_gold.tiff,-1,-1,-1,0.4421364985163205,0.2021339656194428,0.1812577065351418,-1,0.0,0.0,-1,0.37574850299401197,0.23635786802030456,0.2454861111111111,0.3458183683940482,0.2021339656194428
43,E:\result\0664_seg.v3dpbd\gold\318_349_116_gold.tiff,-1,-1,-1,0.28997955010224946,0.5418994413407822,0.18680777750430716,-1,0.0,0.0,-1,0.2094624285923539,0.17992120239311252,0.20167105413757583,0.20813106796116504,0.5418994413407822
44,E:\result\0664_seg.v3dpbd\gold\32_32_124_gold.tiff,-1,-1,-1,0.0,0.0,0.0,-1,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0
45,E:\result\0664_seg.v3dpbd\gold\32_32_168_gold.tiff,-1,-1,-1,0.0,0.0,0.0,-1,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0
46,E:\result\0664_seg.v3dpbd\gold\32_32_34_gold.tiff,-1,-1,-1,0.0,0.0,0.0,-1,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0
47,E:\result\0664_seg.v3dpbd\gold\32_32_55_gold.tiff,-1,-1,-1,0.0,0.0,0.0,-1,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0
