,ImageName,app1,app2,snake,Advantra,MOST,EnsembleNeuronTracerBasic,Rollerball,meanshift,TreMap,MST_Tracing,EnsembleNeuronTracerV2n,LCMboost,nctuTW_GD,NeuroStalker,spanningtree,Cwlab_ver1,neutu_autotrace,axis_analyzer,nctuTW,Rayshooting,smartTracing,simple,EnsembleNeuronTracerV2s,NeuronChaser,neutube
15,E:\result\0663_seg.v3dpbd\gold\1680_506_185_gold.tiff,-1,-1,-1.0,-1,0.21028204212781149,0.28636226186876323,-1.0,0.29990044798407167,-1,0.3565650280024891,0.0,-1.0,-1.0,-1,-1,0.2918013517484572,-1.0,-1.0,0.33723709369024857,-1.0,0.3053128689492326,-1.0,0.28636226186876323,-1.0,0.34047058823529414
16,E:\result\0663_seg.v3dpbd\gold\1808_460_189_gold.tiff,-1,-1,-1.0,-1,0.0,0.0,-1.0,0.5268022181146026,-1,0.46887966804979253,0.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,0.5234782608695652,-1.0,0.53,-1.0,0.0,-1.0,0.5302547770700637
17,E:\result\0663_seg.v3dpbd\gold\400_462_141_gold.tiff,-1,-1,-1.0,-1,0.09499136442141623,0.1824973319103522,-1.0,0.291932059447983,-1,0.3897122929380994,0.0,-1.0,-1.0,-1,-1,0.18133616118769882,-1.0,-1.0,0.41527655838454786,-1.0,0.4237885462555066,-1.0,0.1824973319103522,-1.0,0.3167701863354037
18,E:\result\0663_seg.v3dpbd\gold\410_412_113_gold.tiff,-1,-1,-1.0,-1,0.1330498177399757,0.1522633744855967,-1.0,0.31007462686567167,-1,0.36059684995855207,0.0,-1.0,-1.0,-1,-1,0.1561812582490101,-1.0,-1.0,0.3893244873341375,-1.0,0.4143968871595331,-1.0,0.1522633744855967,-1.0,0.4244551163649797
19,E:\result\0663_seg.v3dpbd\gold\451_334_94_gold.tiff,-1,-1,-1.0,-1,0.20134493670886075,0.07981018119068162,-1.0,0.12157468159011965,-1,0.2751677852348993,0.0,-1.0,-1.0,-1,-1,0.08350141185962082,-1.0,-1.0,0.2700348432055749,-1.0,0.31422459893048127,-1.0,0.07981018119068162,-1.0,0.28410650562723033
20,E:\result\0663_seg.v3dpbd\gold\467_304_91_gold.tiff,-1,-1,-1.0,-1,0.0,0.0,-1.0,0.0,-1,0.0,0.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
21,E:\result\0663_seg.v3dpbd\gold\477_412_30_gold.tiff,-1,-1,-1.0,-1,0.0,0.0,-1.0,0.0,-1,0.2761904761904762,0.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,0.3972602739726027,-1.0,0.2911392405063291,-1.0,0.0,-1.0,0.0
22,E:\result\0663_seg.v3dpbd\gold\483_432_125_gold.tiff,-1,-1,-1.0,-1,0.1907006990733214,0.15314082386752428,-1.0,0.2642522452167122,-1,0.3794892582083502,0.0,-1.0,-1.0,-1,-1,0.15178927763735534,-1.0,-1.0,0.3509020496835742,-1.0,0.40793982448809024,-1.0,0.15314082386752428,-1.0,0.4029189189189189
23,E:\result\0663_seg.v3dpbd\gold\501_518_104_gold.tiff,-1,-1,-1.0,-1,0.25656493967352734,0.17283628779979146,-1.0,0.2618378378378378,-1,0.405415786441329,0.0,-1.0,-1.0,-1,-1,0.17039321511179645,-1.0,-1.0,0.34605087014725566,-1.0,0.43522700261468983,-1.0,0.17283628779979146,-1.0,0.3732706142778085
24,E:\result\0663_seg.v3dpbd\gold\528_448_119_gold.tiff,-1,-1,-1.0,-1,0.27408729069448257,0.1630848748639826,-1.0,0.29637240886347394,-1,0.3775781090463549,0.0,-1.0,-1.0,-1,-1,0.1631488118943316,-1.0,-1.0,0.3325995068686157,-1.0,0.4215134961439589,-1.0,0.1630848748639826,-1.0,0.39673692744223754
