,ImageName,app1,app2,Advantra,MOST,EnsembleNeuronTracerBasic,meanshift,TreMap,MST_Tracing,EnsembleNeuronTracerV2n,spanningtree,axis_analyzer,Rayshooting,smartTracing,simple,EnsembleNeuronTracerV2s
31,E:\result\0663_seg.v3dpbd\gold\656_526_141_gold.tiff,-1,-1,-1,0.2897016361886429,0.14727776966866152,0.23986455568774595,-1,0.333187550112982,0.0,-1,-1.0,-1.0,0.3941733941733942,-1.0,0.14727776966866152
32,E:\result\0663_seg.v3dpbd\gold\670_526_186_gold.tiff,-1,-1,-1,0.29253048780487806,0.15789473684210525,0.21818372263538285,-1,0.3293427607263378,0.0,-1,-1.0,-1.0,0.37084507042253523,-1.0,0.15789473684210525
33,E:\result\0663_seg.v3dpbd\gold\784_527_141_gold.tiff,-1,-1,-1,0.49750671269658614,0.20282658517952637,0.1845960652992884,-1,0.2911621181998916,0.0,-1,-1.0,-1.0,0.3404336249524534,-1.0,0.20282658517952637
34,E:\result\0663_seg.v3dpbd\gold\784_530_118_gold.tiff,-1,-1,-1,0.49750671269658614,0.20282658517952637,0.1845960652992884,-1,0.2911621181998916,0.0,-1,-1.0,-1.0,0.3404336249524534,-1.0,0.20282658517952637
35,E:\result\0663_seg.v3dpbd\gold\912_525_119_gold.tiff,-1,-1,-1,0.45395869191049915,0.20552268244575936,0.3568818514007308,-1,0.2750281214848144,0.0,-1,-1.0,-1.0,0.3443188951663528,-1.0,0.20552268244575936
36,E:\result\0663_seg.v3dpbd\gold\912_537_107_gold.tiff,-1,-1,-1,0.45395869191049915,0.20552268244575936,0.3568818514007308,-1,0.2750281214848144,0.0,-1,-1.0,-1.0,0.3443188951663528,-1.0,0.20552268244575936
37,E:\result\0664_seg.v3dpbd\gold\170_300_177_gold.tiff,-1,-1,-1,0.0712979890310786,0.3290978398983482,0.12260807937632884,-1,0.0,0.0,-1,0.11198649409116489,0.19369369369369369,0.14546684709066307,0.13636363636363635,0.3290978398983482
38,E:\result\0664_seg.v3dpbd\gold\219_312_175_gold.tiff,-1,-1,-1,0.14162905652267355,0.44181491757793373,0.17360812938314013,-1,0.0,0.0,-1,0.2609743719868054,0.3379106776180698,0.3422207592714505,0.2876594700686948,0.44181491757793373
39,E:\result\0664_seg.v3dpbd\gold\284_221_139_gold.tiff,-1,-1,-1,0.002631578947368421,0.6415384615384615,0.3055555555555556,-1,0.0,0.0,-1,0.06642728904847396,0.17315436241610738,0.19553072625698323,0.210239651416122,0.6415384615384615
40,E:\result\0664_seg.v3dpbd\gold\298_349_165_gold.tiff,-1,-1,-1,0.23633854645814167,0.5034690295076486,0.20649033118470772,-1,0.0,0.0,-1,0.29000964087731984,0.2814264155161813,0.3214729414103265,0.2684051800603158,0.5034690295076486
41,E:\result\0664_seg.v3dpbd\gold\298_408_252_gold.tiff,-1,-1,-1,0.22510435301132975,0.32895869191049915,0.17737789203084833,-1,0.0,0.0,-1,0.3748094512195122,0.28934697562443573,0.30087527352297594,0.33103843947217443,0.32895869191049915
42,E:\result\0664_seg.v3dpbd\gold\298_464_281_gold.tiff,-1,-1,-1,0.13709307657038056,0.1934296233361654,0.16993652625504904,-1,0.0,0.0,-1,0.39163201663201663,0.29843875100080064,0.2995342929720576,0.35565515423147903,0.1934296233361654
43,E:\result\0664_seg.v3dpbd\gold\318_349_116_gold.tiff,-1,-1,-1,0.23933209647495363,0.4891304347826087,0.20127202862064397,-1,0.0,0.0,-1,0.2774706623993793,0.2386572506529941,0.2884379347025612,0.27242953552997223,0.4891304347826087
44,E:\result\0664_seg.v3dpbd\gold\32_32_124_gold.tiff,-1,-1,-1,0.0,0.0,0.0,-1,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0
45,E:\result\0664_seg.v3dpbd\gold\32_32_168_gold.tiff,-1,-1,-1,0.0,0.0,0.0,-1,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0
46,E:\result\0664_seg.v3dpbd\gold\32_32_34_gold.tiff,-1,-1,-1,0.0,0.0,0.0,-1,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0
47,E:\result\0664_seg.v3dpbd\gold\32_32_55_gold.tiff,-1,-1,-1,0.0,0.0,0.0,-1,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0
48,E:\result\0664_seg.v3dpbd\gold\32_32_62_gold.tiff,-1,-1,-1,0.0,0.0,0.0,-1,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0
