,ImageName,app1,app2,snake,Advantra,MOST,EnsembleNeuronTracerBasic,Rollerball,meanshift,TreMap,MST_Tracing,EnsembleNeuronTracerV2n,LCMboost,nctuTW_GD,NeuroStalker,spanningtree,Cwlab_ver1,neutu_autotrace,axis_analyzer,nctuTW,Rayshooting,smartTracing,simple,EnsembleNeuronTracerV2s,NeuronChaser,neutube
12,E:\result\0663_seg.v3dpbd\gold\1552_490_177_gold.tiff,-1,-1,-1.0,-1,0.19111758281761923,0.19985438660356752,-1.0,0.340735347651984,-1,0.492901346923917,0.0,-1.0,-1.0,-1,-1,0.20167455405897342,-1.0,-1.0,0.318529304696032,-1.0,0.4109938114306516,-1.0,0.19985438660356752,-1.0,0.383327266108482
13,E:\result\0663_seg.v3dpbd\gold\1552_523_190_gold.tiff,-1,-1,-1.0,-1,0.24948635162899913,0.2365717640152627,-1.0,0.38831816847666567,-1,0.5309656589374817,0.0,-1.0,-1.0,-1,-1,0.23803933078955092,-1.0,-1.0,0.36513061344291164,-1.0,0.4364543586733196,-1.0,0.2365717640152627,-1.0,0.421191664220722
14,E:\result\0663_seg.v3dpbd\gold\1558_651_226_gold.tiff,-1,-1,-1.0,-1,0.2875,0.09166666666666666,-1.0,0.31666666666666665,-1,0.625,0.0,-1.0,-1.0,-1,-1,0.09166666666666666,-1.0,-1.0,0.30416666666666664,-1.0,0.4791666666666667,-1.0,0.09166666666666666,-1.0,0.5166666666666667
15,E:\result\0663_seg.v3dpbd\gold\1680_506_185_gold.tiff,-1,-1,-1.0,-1,0.1377049180327869,0.2215456674473068,-1.0,0.2819672131147541,-1,0.4023419203747073,0.0,-1.0,-1.0,-1,-1,0.2323185011709602,-1.0,-1.0,0.33021077283372363,-1.0,0.30257611241217797,-1.0,0.2215456674473068,-1.0,0.33864168618266977
16,E:\result\0663_seg.v3dpbd\gold\1808_460_189_gold.tiff,-1,-1,-1.0,-1,0.0,0.0,-1.0,0.4264264264264264,-1,0.5075075075075075,0.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,0.45045045045045046,-1.0,0.5555555555555556,-1.0,0.0,-1.0,0.4984984984984985
17,E:\result\0663_seg.v3dpbd\gold\400_462_141_gold.tiff,-1,-1,-1.0,-1,0.04981549815498155,0.15682656826568267,-1.0,0.25276752767527677,-1,0.4114391143911439,0.0,-1.0,-1.0,-1,-1,0.15682656826568267,-1.0,-1.0,0.4354243542435424,-1.0,0.44280442804428044,-1.0,0.15682656826568267,-1.0,0.23431734317343172
18,E:\result\0663_seg.v3dpbd\gold\410_412_113_gold.tiff,-1,-1,-1.0,-1,0.0788712011577424,0.12011577424023155,-1.0,0.30028943560057886,-1,0.4717800289435601,0.0,-1.0,-1.0,-1,-1,0.12807525325615052,-1.0,-1.0,0.4667149059334298,-1.0,0.5390738060781476,-1.0,0.12011577424023155,-1.0,0.4153400868306802
19,E:\result\0663_seg.v3dpbd\gold\451_334_94_gold.tiff,-1,-1,-1.0,-1,0.16710526315789473,0.060526315789473685,-1.0,0.10328947368421053,-1,0.44473684210526315,0.0,-1.0,-1.0,-1,-1,0.06776315789473684,-1.0,-1.0,0.35657894736842105,-1.0,0.48289473684210527,-1.0,0.060526315789473685,-1.0,0.3401315789473684
20,E:\result\0663_seg.v3dpbd\gold\467_304_91_gold.tiff,-1,-1,-1.0,-1,0.0,0.0,-1.0,0.0,-1,0.0,0.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
21,E:\result\0663_seg.v3dpbd\gold\477_412_30_gold.tiff,-1,-1,-1.0,-1,0.0,0.0,-1.0,0.0,-1,0.5833333333333334,0.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,0.5833333333333334,-1.0,0.4583333333333333,-1.0,0.0,-1.0,0.0
22,E:\result\0663_seg.v3dpbd\gold\483_432_125_gold.tiff,-1,-1,-1.0,-1,0.1300199689372088,0.12402928777457288,-1.0,0.30019968937208785,-1,0.5191923674284447,0.0,-1.0,-1.0,-1,-1,0.12646993565564676,-1.0,-1.0,0.4120257377412913,-1.0,0.5413800754382072,-1.0,0.12402928777457288,-1.0,0.4133570002218771
23,E:\result\0663_seg.v3dpbd\gold\501_518_104_gold.tiff,-1,-1,-1.0,-1,0.18821689259645463,0.17257559958289886,-1.0,0.3154327424400417,-1,0.5500521376433786,0.0,-1.0,-1.0,-1,-1,0.17257559958289886,-1.0,-1.0,0.4040667361835245,-1.0,0.4770594369134515,-1.0,0.17257559958289886,-1.0,0.35140771637122004
24,E:\result\0663_seg.v3dpbd\gold\528_448_119_gold.tiff,-1,-1,-1.0,-1,0.2114406779661017,0.12690677966101696,-1.0,0.35127118644067795,-1,0.5875,0.0,-1.0,-1.0,-1,-1,0.13008474576271187,-1.0,-1.0,0.4,-1.0,0.5557203389830508,-1.0,0.12690677966101696,-1.0,0.41461864406779664
