name        y_n    ratio(x/y)    overlap_level    count    grey_std    overlap_all
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/20/marker262.marker_color.txt     0   0.527132   0.0182969   2693   17.9788    0.00113028
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/20/marker265.marker_color.txt     1   1   0.154321   32   11.2565    0.0268908
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/20/marker269.marker_color.txt     0   0.8   0.325   82   16.1858    0.0308039
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/21/marker132.marker_color.txt     1   0.545455   0.371212   110   13.332    0.0358073
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/21/marker143.marker_color.txt     1   0.75   0.53125   170   9.46126    0.0222397
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/21/marker157.marker_color.txt     1   0.462963   0.0844444   790   13.3017    0.00332693
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/21/marker158.marker_color.txt     0   0.454545   0.172727   76   3.92205    0.0575758
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/21/marker163.marker_color.txt     0   0.615385   0.158654   177   11.1029    0.00349347
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/21/marker194.marker_color.txt     1   0.730769   0.108553   1190   15.0629    0.00507766
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/21/marker218.marker_color.txt     1   0.684211   0.0618534   1042   14.6952    0.00358726
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/21/marker226.marker_color.txt     0   0.954545   0.0411255   510   11.715    0.00181391
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/21/marker236.marker_color.txt     1   0.904762   0.0902256   72   12.6103    0.0902256
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/21/marker250.marker_color.txt     1   0.860465   0.030484   187   9.01328    0.0116351
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/21/marker_all_145.marker_color.txt     1   1   0.335   124   12.1027    0.0510288
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/21/marker_all_271.marker_color.txt     1   0.722222   0.224359   119   12.9758    0.0695906
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/21/marker_all_279.marker_color.txt     1   0.75   0.24537   107   12.3269    0.059944
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/21/marker_all_459.marker_color.txt     1   0.631579   0.203947   93   1.47917    0.407895
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/21/marker_all_526.marker_color.txt     1   0.733333   0.242424   137   20.6879    0.130476
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/22/marker12.marker_color.txt     1   0.3125   0.2125   34   7.7049    0.2125
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/22/marker120.marker_color.txt     1   0.818182   0.308081   61   4.46235    0.616162
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/22/marker13.marker_color.txt     1   0.16   0.24   48   6.8135    0.24
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/22/marker140.marker_color.txt     1   0.388889   0.34127   237   13.2835    0.015251
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/22/marker15.marker_color.txt     1   0.411765   0.180672   50   5.8448    0.0822368
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/22/marker226.marker_color.txt     0   0.48   0.108333   147   8.4857    0.0328125
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/22/marker228.marker_color.txt     1   0.916667   0.121212   58   3.63438    0.027619
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/22/marker239.marker_color.txt     1   0.823529   0.231092   129   10.2412    0.134375
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/22/marker246.marker_color.txt     1   0.511628   0.0586681   116   8.78079    0.0350242
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/22/marker249.marker_color.txt     1   0.933333   0.0511905   86   7.12768    0.0511905
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/22/marker262.marker_color.txt     0   0.9375   0.0520833   164   10.2011    0.0267188
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/22/marker264.marker_color.txt     1   0.818182   0.267677   67   8.97345    0.121818
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/22/marker265.marker_color.txt     1   0.923077   0.214744   78   3.82997    0.135417
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/22/marker5.marker_color.txt     1   0.625   0.5875   57   14.2284    0.146154
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/22/marker9.marker_color.txt     1   1   0.48   24   5.46332    0.48
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/22/marker_all_171.marker_color.txt     1   0.428571   0.261905   93   11.1776    0.0313131
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/22/marker_all_197.marker_color.txt     1   1   0.142578   83   9.89127    0.108073
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/22/marker_all_222.marker_color.txt     1   0.538462   0.401099   80   12.062    0.0555556
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/22/marker_all_239.marker_color.txt     1   0.823529   0.231092   129   10.2412    0.134375
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/22/marker_all_290.marker_color.txt     1   0.809524   0.264706   189   12.7228    0.264706
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/23/marker1.marker_color.txt     1   0.190476   0.136905   23   1.3774    0.27381
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/23/marker110.marker_color.txt     1   0.529412   0.163399   77   16.171    0.0380247
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/23/marker111.marker_color.txt     1   1   0.382812   60   10.3914    0.165289
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/23/marker115.marker_color.txt     1   0.419355   0.0493176   176   11.3139    0.0186757
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/23/marker118.marker_color.txt     1   0.611111   0.199495   79   1.80446    0.39899
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/23/marker124.marker_color.txt     0   0.455446   0.0129143   501   12.7931    0.00410319
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/23/marker153.marker_color.txt     1   0.517241   0.274713   412   23.3198    0.143056
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/23/marker157.marker_color.txt     1   0.923077   0.227564   90   13.586    0.0833333
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/23/marker158.marker_color.txt     1   0.967742   0.077957   168   10.9764    0.0583333
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/23/marker_all_136.marker_color.txt     1   0.944444   0.343137   282   8.60391    0.108462
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/23/marker_all_152.marker_color.txt     1   0.875   0.209821   100   9.0011    0.0694444
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/23/marker_all_157.marker_color.txt     1   0.923077   0.227564   90   13.586    0.0833333
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/23/marker_all_79.marker_color.txt     1   0.928571   0.321429   131   14.5147    0.179945
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/24/marker142.marker_color.txt     1   0.942857   0.0917749   372   13.4664    0.0203947
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/24/marker23.marker_color.txt     1   0.25   0.373047   211   14.9507    0.27474
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/24/marker24.marker_color.txt     1   1   0.245   61   11.681    0.142191
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/24/marker38.marker_color.txt     1   0.5   0.29   31   8.7616    0.132479
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/24/marker65.marker_color.txt     1   0.4   0.3625   52   6.81406    0.0538302
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/24/marker76.marker_color.txt     1   0.25   0.201389   68   8.48156    0.0944444
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/24/marker81.marker_color.txt     0   0.6   0.175   37   3.46583    0.0813187
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/24/marker83.marker_color.txt     1   0.590909   0.143357   86   13.4792    0.0787546
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/24/marker87.marker_color.txt     0   0.36   0.202222   386   11.4551    0.00686442
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/24/marker_all_151.marker_color.txt     1   0.666667   0.427083   102   18.263    0.177083
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/24/marker_all_163.marker_color.txt     1   1   0.47929   202   12.5884    0.197266
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/24/marker_all_189.marker_color.txt     1   1   0.274306   101   7.61863    0.199211
